"","ensembl.transcript","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene.name","gene.description","Chromosome.scaffold.name","Gene.stable.ID","tissues","max.tissue"
"1","ENST00000338791",3.73170239495919,8.36002241808265,18.0050390809063,3.24536158968625e-11,1.16643357302044e-07,15.977104914488,"IMPDH1","inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]","7","ENSG00000106348","Artery - Aorta/Bladder/Esophagus - Gastroesophageal Junction/Minor Salivary Gland/Spleen/Testis/Whole Blood","Whole Blood"
"12","ENST00000561406",3.45948149314372,10.9531205126005,15.8210715739164,1.89218153266474e-10,1.81665618114155e-07,14.3390211442963,"EIF5","eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]","14","ENSG00000100664","Cells - EBV-transformed lymphocytes/Cells - Transformed fibroblasts/Testis","Cells - Transformed fibroblasts"
"13","ENST00000357726",4.58537403920022,8.47201804147351,15.1521496058327,3.39362517424371e-10,2.42261783987298e-07,13.7856818526287,"PRAMEF12","PRAME family member 12 [Source:HGNC Symbol;Acc:HGNC:22125]","1","ENSG00000116726","Cervix - Endocervix/Testis","Testis"
"14","ENST00000452955",2.14710176322217,8.53992410066992,15.0163768283581,3.83156371148472e-10,2.6071328293704e-07,13.6701130603387,"IMP4","IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]","2","ENSG00000136718","Liver/Testis","Testis"
"15","ENST00000460428",2.69353650896704,8.19905402133467,14.5776278827926,5.71025061446183e-10,3.03927151940598e-07,13.2888165311988,"SFPQ","splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]","1","ENSG00000116560","Testis","Testis"
"16","ENST00000531462",3.22524192912045,9.27851997006324,14.4169510556392,6.62623897750745e-10,3.42626699648316e-07,13.1461084975796,"TIMM10B","translocase of inner mitochondrial membrane 10B [Source:HGNC Symbol;Acc:HGNC:4022]","11","ENSG00000132286","Colon - Sigmoid/Esophagus - Gastroesophageal Junction/Esophagus - Muscularis/Fallopian Tube/Ovary/Pituitary/Prostate","Esophagus - Gastroesophageal Junction"
"17","ENST00000533379",3.22524192912045,9.27851997006324,14.4169510556392,6.62623897750745e-10,3.42626699648316e-07,13.1461084975796,"TIMM10B","translocase of inner mitochondrial membrane 10B [Source:HGNC Symbol;Acc:HGNC:4022]","11","ENSG00000132286","Cells - EBV-transformed lymphocytes/Cells - Transformed fibroblasts/Cervix - Ectocervix/Esophagus - Mucosa/Heart - Atrial Appendage/Muscle - Skeletal/Small Intestine - Terminal Ileum/Testis","Cells - EBV-transformed lymphocytes"
"18","ENST00000354373",2.7124228321047,6.61045488587196,13.7053351504868,1.30388960629162e-09,5.51897238266592e-07,12.493350695319,"RFPL1","ret finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:9977]","22","ENSG00000128250","Adrenal Gland/Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cerebellar Hemisphere/Brain - Cerebellum/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Brain - Spinal cord/Brain - Substantia nigra/Ovary/Pituitary/Prostate/Testis","Brain - Frontal Cortex"
"19","ENST00000583021",3.61203254278553,9.23165097835812,13.6953991323966,1.31655442159824e-09,5.54802993020555e-07,12.4839895772531,"NOL11","nucleolar protein 11 [Source:HGNC Symbol;Acc:HGNC:24557]","17","ENSG00000130935","Brain - Cerebellar Hemisphere/Fallopian Tube/Small Intestine - Terminal Ileum","Fallopian Tube"
"20","ENST00000471312",5.10929386938176,9.27083640162984,13.6838255857522,1.33147188867229e-09,5.57936058786224e-07,12.4730768796147,"KHDC1L","KH domain containing 1 like [Source:HGNC Symbol;Acc:HGNC:37274]","6","ENSG00000256980","Brain - Cerebellar Hemisphere/Brain - Cerebellum/Testis","Testis"
"21","ENST00000593133",-3.52559513707285,8.2247373989191,-17.0825091656898,6.66459066242193e-11,1.44892745040141e-07,15.3147049333692,"ZNF571","zinc finger protein 571 [Source:HGNC Symbol;Acc:HGNC:25000]","19","ENSG00000180479","Bladder/Cells - EBV-transformed lymphocytes/Cells - Transformed fibroblasts/Cervix - Ectocervix/Esophagus - Mucosa/Kidney - Cortex/Ovary/Skin - Not Sun Exposed/Testis/Vagina","Testis"
"22","ENST00000331090",-2.61337242271187,8.58749341353483,-16.1666322036194,1.41140654905589e-10,1.61867483014448e-07,14.6148196469743,"REC114","REC114 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:25065]","15","ENSG00000183324","Heart - Atrial Appendage/Testis","Testis"
"23","ENST00000560581",-2.61337242271187,8.58749341353483,-16.1666322036194,1.41140654905589e-10,1.61867483014448e-07,14.6148196469743,"REC114","REC114 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:25065]","15","ENSG00000183324","Heart - Atrial Appendage/Testis","Testis"
"24","ENST00000557998",-3.42031938882231,9.27402691280387,-15.6645540597316,2.16496936671026e-10,1.81665618114155e-07,14.2118866138961,"RNF111","ring finger protein 111 [Source:HGNC Symbol;Acc:HGNC:17384]","15","ENSG00000157450","Bladder/Cells - EBV-transformed lymphocytes/Cells - Transformed fibroblasts/Cervix - Endocervix/Minor Salivary Gland/Testis","Cells - Transformed fibroblasts"
"25","ENST00000331203",-2.23940578344074,8.0905195310657,-14.9532612708154,4.05531233766852e-10,2.69393835353495e-07,13.6160043262914,"FBLN7","fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]","2","ENSG00000144152","Adipose - Visceral/Artery - Aorta/Artery - Coronary/Artery - Tibial/Breast - Mammary Tissue/Cells - Transformed fibroblasts/Cervix - Ectocervix/Cervix - Endocervix/Fallopian Tube/Skin - Not Sun Exposed/Uterus/Vagina","Cervix - Endocervix"
"26","ENST00000409903",-2.23940578344074,8.0905195310657,-14.9532612708154,4.05531233766852e-10,2.69393835353495e-07,13.6160043262914,"FBLN7","fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]","2","ENSG00000144152","Artery - Tibial/Brain - Cerebellar Hemisphere/Brain - Cortex/Brain - Frontal Cortex/Breast - Mammary Tissue/Cervix - Ectocervix/Pituitary/Spleen/Thyroid/Vagina","Pituitary"
"27","ENST00000252677",-2.71177720904488,9.30711813407207,-14.7618191316813,4.82343091091762e-10,2.93397427975344e-07,13.4503659899436,"BMP15","bone morphogenetic protein 15 [Source:HGNC Symbol;Acc:HGNC:1068]","X","ENSG00000130385","Testis","Testis"
"28","ENST00000492654",-2.73818551155523,8.49018366808353,-13.864271235721,1.1180129001238e-09,5.1663559630639e-07,12.6421481528806,"HHEX","hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]","10","ENSG00000152804","Liver/Spleen/Thyroid","Thyroid"
"29","ENST00000498799",-2.69711939818298,7.84720691558533,-13.8290154097152,1.15665979789257e-09,5.20745530442209e-07,12.6092937168109,"OLIG1","oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]","21","ENSG00000184221","Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cerebellar Hemisphere/Brain - Cerebellum/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Brain - Spinal cord/Brain - Substantia nigra/Kidney - Cortex/Testis","Brain - Spinal cord"
"30","ENST00000555409",-2.12129141477278,7.07869021308157,-13.8044918309885,1.18437994109013e-09,5.20745530442209e-07,12.5863894630971,"SYT16","synaptotagmin 16 [Source:HGNC Symbol;Acc:HGNC:23142]","14","ENSG00000139973","Testis","Testis"
"31","ENST00000324666",-2.10809782629464,8.60566710051289,-13.7592804255773,1.23735642272963e-09,5.30781515882933e-07,12.5440532132515,"FAM193A","family with sequence similarity 193 member A [Source:HGNC Symbol;Acc:HGNC:16822]","4","ENSG00000125386","Breast - Mammary Tissue/Cells - EBV-transformed lymphocytes/Cervix - Ectocervix/Fallopian Tube/Pituitary/Skin - Not Sun Exposed/Testis","Testis"
"32","ENST00000467983",-2.65653394234468,9.33955369035159,-13.6458374877613,1.38171437489293e-09,5.69539433198483e-07,12.4371912132637,"ABCB4","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","7","ENSG00000005471","Adrenal Gland/Heart - Atrial Appendage/Heart - Left Ventricle/Liver/Small Intestine - Terminal Ileum/Spleen","Liver"
"33","ENST00000282728",-2.79323550184152,8.36500216367694,-13.542533611915,1.52883257953036e-09,6.15464338034517e-07,12.3390848027853,"HHEX","hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]","10","ENSG00000152804","Adrenal Gland/Bladder/Liver/Thyroid","Thyroid"
"34","ENST00000472590",-2.79323550184152,8.36500216367694,-13.542533611915,1.52883257953036e-09,6.15464338034517e-07,12.3390848027853,"HHEX","hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]","10","ENSG00000152804","Liver/Pancreas/Spleen/Thyroid","Thyroid"
"35","ENST00000359206",-2.72555130424844,8.83281684009811,-13.528166567545,1.55057972032238e-09,6.15464338034517e-07,12.3253800516508,"ABCB4","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","7","ENSG00000005471","Adrenal Gland/Artery - Aorta/Cells - EBV-transformed lymphocytes/Heart - Atrial Appendage/Heart - Left Ventricle/Liver/Spleen","Liver"
"36","ENST00000453593",-2.72555130424844,8.83281684009811,-13.528166567545,1.55057972032238e-09,6.15464338034517e-07,12.3253800516508,"ABCB4","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","7","ENSG00000005471","Adrenal Gland/Artery - Aorta/Cells - EBV-transformed lymphocytes/Heart - Atrial Appendage/Spleen","Adrenal Gland"
"37","ENST00000416984",-2.12564800491265,8.41152656794097,-13.4901641776392,1.60970702342778e-09,6.31077721942944e-07,12.2890578228478,"INTS9","integrator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25592]","8","ENSG00000104299","Adrenal Gland/Cells - EBV-transformed lymphocytes/Spleen/Testis","Testis"
"38","ENST00000525791",-3.53510693528387,8.63044105384276,-13.4231156724806,1.71996106232052e-09,6.47838451700823e-07,12.2247188973505,"BTG4","BTG anti-proliferation factor 4 [Source:HGNC Symbol;Acc:HGNC:13862]","11","ENSG00000137707","Testis","Testis"
"39","ENST00000534552",-2.00087550832111,8.7533280197926,-13.4423581126581,1.68751892388271e-09,6.47838451700823e-07,12.2432170841578,"PPFIBP2","PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]","11","ENSG00000166387","Testis","Testis"
"40","ENST00000508698",-2.32429721187333,8.30648054109545,-13.2713019506127,2.00043958785314e-09,7.19780942321149e-07,12.0778272853248,"C4orf47","chromosome 4 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:34346]","4","ENSG00000205129","Artery - Aorta/Brain - Amygdala/Brain - Anterior cingulate cortex/Brain - Caudate/Brain - Cerebellar Hemisphere/Brain - Cerebellum/Brain - Cortex/Brain - Frontal Cortex/Brain - Hippocampus/Brain - Hypothalamus/Brain - Nucleus accumbens/Brain - Putamen/Brain - Spinal cord/Brain - Substantia nigra/Cells - EBV-transformed lymphocytes/Cervix - Endocervix/Fallopian Tube/Kidney - Cortex/Lung/Minor Salivary Gland/Ovary/Pituitary/Testis/Thyroid","Brain - Nucleus accumbens"
